Event,Date,Status,Tickets Sold,Tickets Available
Out in Tech DC | June Social,"Wednesday, June 6, 2018 6:00 PM",Past,119,81
"Out in Tech London: Diversity + Tech, with Lesbians Who Tech","Wednesday, June 6, 2018 6:30 PM",Past,362,73
Out in Tech New York | Locating Community,"Wednesday, June 6, 2018 6:30 PM",Past,619,71
Out in Tech SF | Summer Social - Pride Kick Off Party,"Sunday, June 17, 2018 2:00 PM",Past,1541,909
Out in Tech Boston | Working #OutHere,"Tuesday, June 26, 2018 6:00 PM",Past,167,413
"Out in Tech Austin: Health, Wellness, & Fitness Panel","Wednesday, June 27, 2018 6:00 PM",Past,179,61
Out in Tech London's Pre-Pride Party with Special Guests,"Tuesday, July 3, 2018 6:00 PM",Past,151,-1
Out in Tech Portland // July Social,"Tuesday, July 10, 2018 5:30 PM",Past,41,59
Out in Tech LA | Summer Social at Akbar,"Thursday, August 2, 2018 6:00 PM",Past,489,11
Out in Tech Portland // August Social,"Tuesday, August 7, 2018 6:00 PM",Past,46,54
Out in Tech DC | August Social,"Wednesday, August 8, 2018 6:00 PM",Past,97,143
Out in Tech Chicago | Summer Social at Elixir,"Thursday, August 16, 2018 6:00 PM",Past,124,15
Out in Tech New York | Summer Social,"Wednesday, August 22, 2018 6:30 PM",Past,1278,143
It's Our One Year Anniversary Summer Social,"Thursday, August 23, 2018 6:30 PM",Past,205,95
Out in Tech ATX: Leveling Up – Pride in Gaming,"Monday, August 27, 2018 6:30 PM",Past,102,138
Out in Tech LA | Demos & Drinks @ BCG Gamma,"Wednesday, August 29, 2018 6:00 PM",Past,240,40
Out in Tech New York | QTPOC Rooftop Social,"Wednesday, August 29, 2018 6:30 PM",Past,273,94
Out In Tech Portland // Monthly Social,Repeating Event,Past,0,100
Out in Tech SF | End of Fogust Social,"Wednesday, September 5, 2018 6:00 PM",Past,967,433
Out in Tech New York | Demos + Drinks,"Wednesday, September 12, 2018 6:30 PM",Past,133,167
Out in Tech Chicago | Travel Tech ,"Thursday, September 20, 2018 6:30 PM",Past,169,76
Out in Tech Digital Corps | Rooftop Party,"Tuesday, September 25, 2018 6:00 PM",Past,541,129
